model,prompt,prompt_id,runtime,output
gemini-3-pro,"
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
",0,23.49806809,"Flat Surface,Desktop, broad, horizontal, level plane, Elevation, Legs, Supports, four legs, pedestal base, trestles, cantilevered brackets, Kneehole, Leg Clearance, Storage, Organization, drawers, file drawers, pencil drawers, shelves, or cubbies, Modesty Panel, back, front, Grommets, trays, pass-throughs, Keyboard Tray, pull-out sub-surface, Hutch, optional shelving unit, Workstation, Weight Bearing, Writing Surface, hard, smooth backing, Organization, sorting, documents, stationery, office supplies, Ergonomic Support,  facilitate comfortable posture, sitting, standing, Personal Territory, personal workspace, Rigid, Hard, Smooth, Stable, Sturdy, Wood, Solid oak, mahogany, pine, veneers, MDF, particle board, laminate, Metal, Steel, aluminum, Glass, Tempered glass tops, Temperature, cool, Adjustability, Rectangular, L-shaped, U-shaped,  Kidney-shaped, Executive, Large, heavy, usually wood, double pedestal, Minimalist, Writing, Simple table-style, few drawers, Secretary, Roll-top, Cubicle, Lighting, Technology, Computers, monitors, keyboards, mice, Stationery, Pens, paper, staplers, paperclips, offices, studies, libraries, dorm rooms, schools, flat working surface, Space for knees, reading, writing, computing, storage, drawers"
gemini-3-pro,"
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
",0,22.43551636,"Flat Surface, hard, smooth, Elevation, Raised off the ground, Leg Clearance, Knee Hole, Supports, Legs, four legs, T-legs, trestles, solid pedestal bases, front, back, Sturdiness, Stability, bears weight, Rigidity, Hard structure, not pliable, Drawers, Sliding compartments, storing, stationery, files, personal items, Cabinetry, Larger storage areas with doors, sometimes lockable, Keyboard Tray, A sliding platform, Cable Management, Grommets, channels, clips, Hutch, shelving unit, Modesty Panel, Adjustability, Wood,  Solid timber, oak, mahogany, plywood, MDF, or particleboard, Metal, Steel, aluminum, Laminate, Veneer, Glass, Plastic, Texture, smooth, hard, Workstation,  administrative, academic, professional labor, Organization, Stationary, semi-permanent furniture, Personal Territory, private, individual domain, Writing Desk,  Minimalist, thin legs, few drawers, Executive Desk, Large, heavy, double-pedestal, enclosed front, often ornate, Computer Desk, Utilitarian, hardware placement, tower stand, monitor shelf, Standing, Sit-Stand Desk, Adjustable height, ergonomics, L-Shaped, Corner Desk, Secretary Desk, hinged surface, Roll-top Desk, Chair, Lighting, Productivity"
gemini-3-pro,"
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
",0,20.21585417,"Horizontal Work Surface, flat, level top, four legs, two panel legs, a pedestal base, trestles, Knee Space, Kneehole, Storage Components, drawers, cabinets, shelving, Modesty Panel, Hardware, Handles, knobs, pulls for drawers,hinges, Grommets, trays, Support, sort, store, Ergonomics, Stationary Work, intellectual tasks, manual tasks, workspace, Hardness, Rigidity, Smoothness sanded, polished, coated, heavy, Wood, Solid oak, pine, mahogany, veneers, particle board, Metal, Steel frames, industrial styles, Glass, Tempered glass tops, Laminate, Composite, Rectangular, L-Shaped, Standing, Adjustable, Mechanized lift, manual lift, Roll-top, Executive, Large, heavy, double-pedestal desks, Secretary, tall, hinged, Carrel, Offices, bedrooms, libraries, classrooms, reception areas, dorm rooms, The Chair, Computers, keyboards, monitors, printers, Stationery, Pens, paper, staplers, organizers, Desk lamps, Represents work, education, bureaucracy, authority, creativity, administration, Elevated, Not on the floor, Flat, Not slanted, Unilateral"
gemini-3-pro,"
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
",0,22.15212846,"A flat, horizontal top surface, Typically has legs, usually four legs, pedestal base, trestles, open cavity, waist-high, elbow-height, commonly rectangular, but can be L-shaped, U-shaped, kidney-shaped, or corner-fitted, front, back, board, file drawers, pencil drawers, utility drawers, Vertical storage units, pull-out shelf, Grommets, channels, clips, wires, Handles, knobs, Security mechanisms, oak, mahogany, pine, cherry,engineered wood, MDF, particle board, Steel, aluminum, Tempered glass top, Protective coatings, rigid, hard, smooth top surface, intellectual labor, administrative tasks, academic study, sort, store, arrange tools, Bears weight, personal, Minimalist, legs, surface, small drawers, for technology, Large, heavy, double-pedestal, Adjustable height mechanisms, hinged surface, flexible shutter, modular surface, Offices, bedrooms, libraries, schools, receptions, studies, Chairs, task lamps, computers, mousepads, pen cups, framed photos, wastebaskets, focus, productivity, bureaucracy, learning, creativity, clutter, single user"
gemini-3-pro,"
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
",0,22.79700089,"flat, horizontal top, Elevated by legs, pedestals, open area underneath the center of the surface to accommodate human legs and a chair, file drawers, pencil drawers, cabinets, cubbies, vertical board, , rectangular, L-shaped, U-shaped, kidney-shaped, corner-fitted, grommets, trays, or clips to organize electrical cords, pull-out sliding shelf, upper shelving unit sitting on top of the surface, designed to remain in one place, to support equipment, Designed at a specific height, used from one side only, sit-stand, motors, cranks, sorting, storing, Hard, stable, non-pliable surface, made of wood, oak, pine, cherry, composite, MDF, particleboard, metal, steel, aluminum, glass, tempered, laminate, smooth surfaces, polished, varnished, laminated, cool, metal, glass, neutral, warm, wood, hard surfaces, reflect sound, Large, heavy, wood, double pedestal, signifies authority, Minimalist, slender legs, little to no storage, smaller surface area, Utilitarian, spots for CPU towers and keyboard trays, Hinged desktop surface, many small cubbies, traditional aesthetic, flexible shutter, surface that can tilt at an angle, Higher surface, adjustable mechanism, offices, bedrooms, studies, libraries, classrooms, reception areas, Represents work, productivity, study, bureaucracy, creativity, administration, private or semi-private domain, cluttered, minimalist, clean, front, back, drawers, shelves, writing,computing"
gemini-3-pro,"
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
Provide your answer in plain text as a comma-separated list of items.
",1,11.69772768,"flat surface, horizontal top, legs, drawers, storage, wood, metal, glass, laminate, particle board, sturdy, rigid, heavy, stationary, furniture, workspace, workstation, office, classroom, study, bedroom, writing surface, computer support, ergonomic, knee space, handles, knobs, hardware, rectangular, L-shaped, U-shaped, corner unit, standing, adjustable height, sit-stand, cubicle, executive, secretary, roll-top, hutch, shelves, keyboard tray, cable management, grommets, casters, wheels, modesty panel, utilitarian, decorative, antique, modern, industrial, commercial, residential, platform, tabletop, base, frame, lockable, organization, filing, smooth, hard, supporting, waist-high"
gemini-3-pro,"
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
Provide your answer in plain text as a comma-separated list of items.
",1,13.38077402,"flat surface, tabletop, horizontal plane, legs, base, frame, support structure, drawers, handles, knobs, storage compartments, wood, metal, glass, plastic, laminate, particle board, veneer, rectangular, L-shaped, U-shaped, corner shape, sturdy, rigid, heavy, stationary, furniture, office equipment, workspace, workstation, writing surface, computer platform, keyboard tray, cable management, grommets, modesty panel, hutch, shelving, attached cabinet, pedestal, casters, wheels, adjustable height, sit-stand mechanism, ergonomic, knee space, chair clearance, executive style, student style, roll-top, secretary style, functional, decorative, indoor, waist-high, utilitarian, hard surface"
gemini-3-pro,"
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
Provide your answer in plain text as a comma-separated list of items.
",1,14.34133744,"flat surface, tabletop, horizontal, legs, base, support, drawers, handles, knobs, storage, shelving, compartments, wood, metal, glass, plastic, laminate, veneer, sturdy, rigid, hard, smooth, rectangular, L-shaped, U-shaped, corner, adjustable height, standing, sit-stand, ergonomic, heavy, furniture, interior design, workspace, workstation, writing area, computer station, keyboard tray, cable management, grommets, modesty panel, hutch, knee space, executive, secretary, roll-top, school, cubicle, office, study, academic, professional, utilitarian, stationary, mobile, caster wheels, lockable"
gemini-3-pro,"
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
Provide your answer in plain text as a comma-separated list of items.
",1,12.52478552,"flat surface, horizontal top, legs, base, frame, drawers, handles, knobs, storage compartments, sturdy, hard, wooden, metal, glass, plastic, heavy, rectangular, L-shaped, U-shaped, corner design, ergonomic, adjustable height, standing, sitting, furniture, workspace, writing surface, computer station, keyboard tray, cable management holes, grommets, modesty panel, knee space, smooth, rigid, stable, waist-high, hutch, shelves, veneer, laminate, particle board, solid wood, steel, executive, secretary, roll-top, drafting, reception, classroom, office, library, study, durable, level, supporting, functional, organizational, locking mechanism, casters, wheels."
gemini-3-pro,"
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
Provide your answer in plain text as a comma-separated list of items.
",1,13.05229115,"flat surface, horizontal, legs, sturdy, rigid, furniture, workspace, drawers, storage, wood, metal, glass, plastic, laminate, particle board, heavy, rectangular, L-shaped, U-shaped, corner, ergonomic, adjustable height, standing, sit-stand, keyboard tray, grommets, cable management, hutch, shelves, cabinet, modesty panel, lockable, knobs, handles, casters, wheels, desktop, workstation, writing area, computer station, gaming setup, executive, student, secretary, roll-top, floating, wall-mounted, mid-century, modern, industrial, rustic, antique, traditional, polished, matte, textured, knee space, monitor riser, utilitarian, indoor, stationary, supporting, solid"
