model,category,frequency,items
Meta-Llama-3.1-70B-Instruct,Bird,most_frequent,"['parrot', 'robin', 'eagle', 'penguin', 'owl', 'sparrow']"
Meta-Llama-3.1-70B-Instruct,Bird,average_frequency,"['swan', 'crow', 'flamingo', 'cardinal', 'emu', 'raven']"
Meta-Llama-3.1-70B-Instruct,Bird,least_frequent,"['goose', 'woodpecker', 'crane', 'kiwi', 'swallow', 'chicken']"
Meta-Llama-3.1-8B-Instruct,Bird,most_frequent,"['goose', 'parrot', 'robin', 'eagle', 'penguin', 'owl']"
Meta-Llama-3.1-8B-Instruct,Bird,average_frequency,"['swan', 'flamingo', 'dove', 'cardinal', 'albatro', 'gull']"
Meta-Llama-3.1-8B-Instruct,Bird,least_frequent,"['duck', 'magpie', 'canary', 'ibi', 'condor', 'starling']"
Qwen2.5-14B-Instruct,Bird,most_frequent,"['parrot', 'robin', 'swan', 'eagle', 'owl', 'sparrow']"
Qwen2.5-14B-Instruct,Bird,average_frequency,"['goose', 'penguin', 'pigeon', 'vulture', 'turkey', 'crane']"
Qwen2.5-14B-Instruct,Bird,least_frequent,"['finch', 'chicken', 'quail', 'heron', 'peacock', 'stork']"
Qwen2.5-32B-Instruct,Bird,most_frequent,"['goose', 'parrot', 'robin', 'eagle', 'penguin', 'owl']"
Qwen2.5-32B-Instruct,Bird,average_frequency,"['falcon', 'albatro', 'kiwi']"
Qwen2.5-32B-Instruct,Bird,least_frequent,"['swan', 'crow', 'swallow', 'turkey', 'pelican', 'toucan']"
Qwen2.5-72B-Instruct,Bird,most_frequent,"['parrot', 'robin', 'swan', 'eagle', 'penguin', 'owl']"
Qwen2.5-72B-Instruct,Bird,average_frequency,"['goose', 'pigeon', 'finch', 'crane', 'hawk', 'quail']"
Qwen2.5-72B-Instruct,Bird,least_frequent,"['dove', 'seagull', 'ibi', 'magpie', 'albatro', 'ostrich']"
