model,category,item,attributes,attribute_scores,basic_measure,log_measure,frequency
Qwen2.5-7B-Instruct,Furniture,armchair,"['spacious', 'reclining', 'upholstered', 'ergonomic', 'wooden', 'seating', 'portable', 'cozy', 'armrests', 'comfortable']","[np.int64(4), np.int64(2), np.int64(4), np.int64(3), np.int64(13), np.int64(5), np.int64(3), np.int64(3), np.int64(1), np.int64(6)]",44,12.727719507927745,22
Qwen2.5-7B-Instruct,Furniture,bookshelf,"['spacious', 'sturdy', 'tall', 'organized', 'rectangular', 'wooden', 'furniture', 'shelves', 'wide', 'static', 'horizontal', 'holding', 'storage']","[np.int64(4), np.int64(6), np.int64(2), np.int64(2), np.int64(9), np.int64(13), np.int64(5), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(6)]",52,12.727719507927747,29
Qwen2.5-7B-Instruct,Furniture,bunk bed,"['multi-level', 'tiered', 'bed', 'supportive', 'sleeping', 'wooden', 'elevated', 'compact', 'space-saving', 'twin', 'bunk']","[np.int64(3), np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(13), np.int64(1), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",28,5.455321115357702,9
Qwen2.5-7B-Instruct,Furniture,cabinet,"['multi-compartment', 'fixed', 'rectangular', 'wooden', 'furniture', 'closed', 'cabinetry', 'shelved', 'practical', 'enclosed', 'storative', 'storage']","[np.int64(1), np.int64(1), np.int64(9), np.int64(13), np.int64(5), np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(2), np.int64(2), np.int64(6)]",46,11.341425146807858,8
Qwen2.5-7B-Instruct,Furniture,chair,"['sturdy', 'four-legged', 'upholstered', 'ergonomic', 'supportive', 'stable', 'wooden', 'seating', 'portable', 'seated', 'comfortable', 'functional']","[np.int64(6), np.int64(1), np.int64(4), np.int64(3), np.int64(2), np.int64(3), np.int64(13), np.int64(5), np.int64(3), np.int64(1), np.int64(6), np.int64(7)]",54,15.079094765091224,30
Qwen2.5-7B-Instruct,Furniture,coffee table,"['low', 'wooden', 'polished', 'black', 'minimalist', 'practical', 'sleek', 'small', 'functional', 'modern', 'square', 'casual', 'round', 'smooth', 'sturdy', 'surface', 'flat', 'petite', 'traditional', 'rectangular', 'simple', 'contemporary', 'glass', 'compact', 'brown']","[np.int64(2), np.int64(13), np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(2), np.int64(7), np.int64(3), np.int64(1), np.int64(2), np.int64(1), np.int64(2), np.int64(6), np.int64(3), np.int64(4), np.int64(1), np.int64(8), np.int64(9), np.int64(2), np.int64(1), np.int64(1), np.int64(3), np.int64(1)]",79,19.825764513353015,26
Qwen2.5-7B-Instruct,Furniture,desk,"['deskdrawer', 'smooth', 'sturdy', 'desklamp', 'rectangular', 'surface', 'office', 'flat', 'stable', 'wooden', 'chairsupport', 'study', 'desktop', 'writing', 'desk', 'workspace', 'functional']","[np.int64(1), np.int64(2), np.int64(6), np.int64(1), np.int64(9), np.int64(3), np.int64(1), np.int64(4), np.int64(3), np.int64(13), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(7)]",57,13.469656852657126,30
Qwen2.5-7B-Instruct,Furniture,dining set,"['set', 'elegant', 'modern', 'versatile', 'traditional', 'complete', 'comfortable', 'stylish', 'durable', 'practical', 'classic', 'functional']","[np.int64(1), np.int64(1), np.int64(3), np.int64(2), np.int64(8), np.int64(2), np.int64(6), np.int64(2), np.int64(5), np.int64(3), np.int64(2), np.int64(7)]",42,12.396362371973304,13
Qwen2.5-7B-Instruct,Furniture,dining table,"['wooden', 'meal-serving', 'large', 'chairs', 'dining-room', 'functional', 'rectangular-shaped', 'social', 'eat', 'furniture', 'casual', 'sturdy', 'surface', 'flat', 'dining', 'meal', 'seating', 'dining-surface', 'informal', 'rectangular-table', 'traditional', 'rectangular', 'chairs-compatible']","[np.int64(13), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(7), np.int64(1), np.int64(1), np.int64(1), np.int64(5), np.int64(2), np.int64(6), np.int64(3), np.int64(4), np.int64(1), np.int64(1), np.int64(5), np.int64(1), np.int64(1), np.int64(1), np.int64(8), np.int64(9), np.int64(1)]",76,17.66936193053705,25
Qwen2.5-7B-Instruct,Furniture,dresser,"['multi-level', 'tall', 'drawers', 'decorative', 'mirrored', 'rectangular', 'wooden', 'furniture', 'cabinetry', 'multi-drawer', 'chest', 'bedroom', 'storage', 'traditional']","[np.int64(3), np.int64(2), np.int64(1), np.int64(2), np.int64(1), np.int64(9), np.int64(13), np.int64(5), np.int64(2), np.int64(1), np.int64(1), np.int64(2), np.int64(6), np.int64(8)]",56,14.114013869047637,29
Qwen2.5-7B-Instruct,Furniture,lamp,"['table', 'traditional', 'modern', 'floor', 'reading', 'portable', 'electrical', 'energy-efficient', 'glowing', 'illuminating', 'bedside', 'adjustable', 'bright', 'directional', 'lighting', 'desk', 'electric']","[np.int64(1), np.int64(8), np.int64(3), np.int64(2), np.int64(1), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(1)]",31,6.3561076606958915,17
Qwen2.5-7B-Instruct,Furniture,nightstand,"['traditional', 'night-time', 'rectangular', 'low', 'wooden', 'simple', 'compact', 'plain', 'bedside', 'bedside table', 'bedroom', 'small', 'storage', 'functional']","[np.int64(8), np.int64(1), np.int64(9), np.int64(2), np.int64(13), np.int64(2), np.int64(3), np.int64(1), np.int64(2), np.int64(1), np.int64(2), np.int64(2), np.int64(6), np.int64(7)]",59,15.143633286228797,20
Qwen2.5-7B-Instruct,Furniture,ottoman,"['stool', 'upholstered', 'wooden', 'seat', 'seating', 'cushioned', 'comfortable', 'padded', 'storage', 'traditional']","[np.int64(1), np.int64(4), np.int64(13), np.int64(1), np.int64(5), np.int64(2), np.int64(6), np.int64(1), np.int64(6), np.int64(8)]",47,11.916789291711419,9
