"model","prompt","prompt_id","runtime","output"
"gemini-3-pro","
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
Do not add any further details, only write the items that answer the instruction.
Provide your answer in plain text as a comma-separated list of adjectives.
","6","25.87770915","wooden,metallic,glas,plastic,hard,solid,flat,horizontal,level,rectangular,l-shaped,corner,sturdy,stable,heavy,rigid,smooth,textured,polished,varnished,painted,stained,functional,utilitarian,ergonomic,adjustable,standing,sitting,organizational,drawered,shelved,compartmented,spaciou,compact,large,small,wide,narrow,modern,antique,vintage,retro,minimalist,executive,scholastic,domestic,commercial,indoor,stationary,movable,wheeled,assembled,manufactured,handcrafted,mass-produced,expensive,cheap,clean,messy,cluttered,tidy,personal,communal,shared,private,supporting,furniture-based,workspace-oriented"
"gemini-3-pro","
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
Do not add any further details, only write the items that answer the instruction.
Provide your answer in plain text as a comma-separated list of adjectives.
","6","19.76958704","wooden,metallic,flat,hard,smooth,rectangular,horizontal,sturdy,rigid,solid,level,stationary,heavy,functional,utilitarian,ergonomic,spaciou,compact,drawered,adjustable,polished,stable,elevated,planar,durable,waist-high,angular,varnished,laminate,executive,antique,modern,modular,l-shaped,supportive,scholastic,administrative,organized,knee-high,surfaced,four-legged"
"gemini-3-pro","
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
Do not add any further details, only write the items that answer the instruction.
Provide your answer in plain text as a comma-separated list of adjectives.
","6","12.49181104","wooden,metal,glas,plastic,composite,rectangular,l-shaped,corner,flat,hard,smooth,rough,sturdy,heavy,lightweight,solid,rigid,stationary,mobile,adjustable,ergonomic,standing,spaciou,compact,large,small,wide,narrow,tall,short,modern,antique,vintage,retro,industrial,rustic,contemporary,traditional,minimalist,brown,black,white,beige,gray,mahogany,oak,pine,polished,matte,varnished,painted,functional,utilitarian,decorative,essential,bureaucratic,executive,clerical,scholastic,academic,domestic,corporate,professional,personal,organized,cluttered,messy,tidy,clean,dusty,scratched,worn,new,old,expensive,cheap,affordable,modular,sectional,heavy-duty,multi-purpose,furnishing,elevated,knee-hole,roll-top"
"gemini-3-pro","
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
Do not add any further details, only write the items that answer the instruction.
Provide your answer in plain text as a comma-separated list of adjectives.
","6","15.79797101","wooden,metal,glas,plastic,laminate,flat,hard,smooth,sturdy,solid,rectangular,l-shaped,corner,heavy,stationary,adjustable,ergonomic,spaciou,compact,modern,antique,vintage,industrial,rustic,traditional,executive,functional,utilitarian,polished,varnished,matte,brown,black,white,beige,four-legged,stable,level,rigid,durable,waist-high,administrative,academic,writing,working,bulky,wide,narrow,compartmentalized,shelved,organized,cluttered,interior,corporate,domestic,scholastic"
"gemini-3-pro","
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
Do not add any further details, only write the items that answer the instruction.
Provide your answer in plain text as a comma-separated list of adjectives.
","6","15.52700663","wooden,metal,glas,plastic,flat,rectangular,l-shaped,sturdy,solid,heavy,hard,smooth,level,stationary,functional,utilitarian,ergonomic,adjustable,standing,spaciou,compact,antique,modern,rustic,industrial,executive,academic,cluttered,organized,polished,rigid,four-legged,brown,black,white,beige,supportive,writing,computer,office,domestic"
"gemini-3-pro","
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
Do not add any further details, only write the items that answer the instruction.
Provide your answer in plain text as a comma-separated list of adjectives.
","6","10.87793636","wooden,metal,glas,flat,hard,sturdy,heavy,rectangular,l-shaped,solid,smooth,polished,functional,ergonomic,adjustable,standing,stationary,spaciou,compact,cluttered,organized,tidy,messy,modern,antique,vintage,minimalist,ornate,simple,sleek,bulky,stable,rigid,level,utilitarian,drawered,executive,scholastic,professional,domestic,matte,glossy,wide,narrow,durable,indispensable,textural,supportive,essential"
"gemini-3-pro","
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
Do not add any further details, only write the items that answer the instruction.
Provide your answer in plain text as a comma-separated list of adjectives.
","6","16.74935889","flat,hard,wooden,metallic,glas,plastic,rectangular,l-shaped,sturdy,heavy,solid,rigid,smooth,level,raised,legged,drawered,shelved,functional,utilitarian,ergonomic,adjustable,spaciou,compact,professional,academic,clerical,administrative,stationary,mobile,varnished,polished,matte,modern,antique,vintage,contemporary,minimalist,essential,useful"
"gemini-3-pro","
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
Do not add any further details, only write the items that answer the instruction.
Provide your answer in plain text as a comma-separated list of adjectives.
","6","16.83179283","flat,wooden,rectangular,hard,sturdy,heavy,solid,horizontal,stationary,rigid,smooth,polished,functional,ergonomic,spaciou,compact,adjustable,standing,metallic,glas,antique,modern,utilitarian,varnished,bulky,supportive,level,waist-high,four-legged,structural,clerical,executive,academic,drawered"
"gemini-3-pro","
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
Do not add any further details, only write the items that answer the instruction.
Provide your answer in plain text as a comma-separated list of adjectives.
","6","12.04356384","wooden,metal,glas,plastic,rectangular,l-shaped,curved,corner,flat,level,hard,solid,smooth,sturdy,stable,heavy,stationary,ergonomic,adjustable,standing,functional,utilitarian,spaciou,compact,wide,narrow,modern,antique,vintage,rustic,industrial,minimalist,polished,varnished,matte,painted,scratched,worn,new,brown,black,white,drawered,legged,four-legged,bulky,sleek,organized,cluttered,messy,tidy,professional,executive,scholastic,academic,bureaucratic,writing,computer"
"gemini-3-pro","
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
Do not add any further details, only write the items that answer the instruction.
Provide your answer in plain text as a comma-separated list of adjectives.
","6","10.86188889","wooden,metal,glas,plastic,hard,solid,flat,level,rectangular,l-shaped,heavy,sturdy,durable,rigid,stationary,stable,four-legged,drawered,compartmentalized,smooth,polished,functional,utilitarian,ergonomic,essential,supportive,academic,professional,executive,corporate,domestic,modern,antique,vintage,sleek,spaciou,compact,cluttered,tidy,organized,adjustable,standing,writing,working"
