model,category,frequency,items
deepseek-chat,Bird,most_frequent,"['owl', 'penguin', 'swan', 'duck', 'robin', 'eagle']"
deepseek-chat,Bird,average_frequency,"['goose', 'nightingale', 'turkey', 'raven', 'kingfisher', 'crane']"
deepseek-chat,Bird,least_frequent,"['potoo', 'skua', 'toucanet', 'spoonbill', 'treecreeper', 'tern']"
gemini-3-pro,Bird,most_frequent,"['owl', 'penguin', 'swan', 'duck', 'robin', 'eagle']"
gemini-3-pro,Bird,average_frequency,"['crossbill', 'guillemot', 'avocet', 'thrasher', 'nightjar', 'rooster']"
gemini-3-pro,Bird,least_frequent,"['jaeger', 'sharpbill', 'firefinch', 'whistler', 'woodshrike', 'sandgrouse']"
gpt-5.2,Bird,most_frequent,"['owl', 'penguin', 'swan', 'duck', 'robin', 'eagle']"
gpt-5.2,Bird,average_frequency,"['potoo', 'anhinga', 'sunbird', 'tropicbird', 'martin', 'kingbird']"
gpt-5.2,Bird,least_frequent,"['dovelet', 'gyrfalcon', 'meadowlark', 'woodswallow', 'vireo', 'rosella']"
deepseek-chat,Carpenter's tool,most_frequent,"['plane', 'saw', 'drill', 'mallet', 'plier', 'screwdriver']"
deepseek-chat,Carpenter's tool,average_frequency,"['wrench', 'caulk gun', 'spokeshave', 'backsaw', 'putty knife', 'framing square']"
deepseek-chat,Carpenter's tool,least_frequent,"['', 'brad', 'shingle hatchet', 'apron', 'rubber mallet', 'line level']"
gemini-3-pro,Carpenter's tool,most_frequent,"['plane', 'saw', 'drill', 'mallet', 'screwdriver', 'chisel']"
gemini-3-pro,Carpenter's tool,average_frequency,"['plier', 'wrench', 'laser level', 'belt sander', 'sledgehammer', ""cat's paw""]"
gemini-3-pro,Carpenter's tool,least_frequent,"['honing guide', 'divider', 'pull saw', 'steel ruler', 'hex key', 'fret saw']"
gpt-5.2,Carpenter's tool,most_frequent,"['drill', 'mallet', 'screwdriver', 'chisel', 'hammer', 'clamp']"
gpt-5.2,Carpenter's tool,average_frequency,"['plane', 'plier', 'level', 'wrench', 'card scraper', 'framing nailer']"
gpt-5.2,Carpenter's tool,least_frequent,"['saw', 'torx screwdriver', 'brush', 'finish nail', 'paint scraper', 'bit driver']"
deepseek-chat,Clothing,most_frequent,"['boot', 'jean', 'sock', 'hoodie', 'sandal', 't-shirt']"
deepseek-chat,Clothing,average_frequency,"['purse', 'cloak', 'tuxedo', 'fanny pack', 'bandana', 'clutch']"
deepseek-chat,Clothing,least_frequent,"['patching', 'lapis lazuli', 'lungi', 'jasper', 'outerwear', 'never']"
gemini-3-pro,Clothing,most_frequent,"['boot', 'jean', 'sock', 'hoodie', 'sandal', 't-shirt']"
gemini-3-pro,Clothing,average_frequency,"['khaki', 'culotte', 'kaftan', 'onesie', 'slack', 'bandana']"
gemini-3-pro,Clothing,least_frequent,"['yoga pant', 'thermal underwear', 'ghillie suit', 'balaclava', 'habit', 'abaya']"
gpt-5.2,Clothing,most_frequent,"['jean', 'sock', 'hoodie', 't-shirt', 'skirt', 'apron']"
gpt-5.2,Clothing,average_frequency,"['boot', 'sandal', 'shoe', 'earmuff', 'trenchcoat', 'sari']"
gpt-5.2,Clothing,least_frequent,"['swim trunk', 'pocket square', 'sports bra', 'undershirt', 'flat', 'puffer jacket']"
deepseek-chat,Fruit,most_frequent,"['cherry', 'grape', 'lemon', 'watermelon', 'apple', 'orange']"
deepseek-chat,Fruit,average_frequency,"['currant', 'rambutan', 'breadfruit', 'ugli fruit']"
deepseek-chat,Fruit,least_frequent,"['tomato', 'olive', 'sugar apple', 'prune', 'prickly pear', 'marula']"
gemini-3-pro,Fruit,most_frequent,"['cherry', 'grape', 'lemon', 'watermelon', 'apple', 'orange']"
gemini-3-pro,Fruit,average_frequency,"['pawpaw', 'jujube', 'zucchini', 'jabuticaba', 'ackee', 'physalis']"
gemini-3-pro,Fruit,least_frequent,"['thimbleberry', 'bell pepper', 'chokecherry', 'sea buckthorn', 'melon', 'horned melon']"
gpt-5.2,Fruit,most_frequent,"['cherry', 'grape', 'lemon', 'watermelon', 'apple', 'orange']"
gpt-5.2,Fruit,average_frequency,"['tomato', 'jabuticaba', 'acerola', 'bilberry', 'barberry', 'medlar']"
gpt-5.2,Fruit,least_frequent,"['bartlett pear', 'sour cherry', 'casaba melon', 'pepino', 'hazelnut', 'bergamot']"
deepseek-chat,Furniture,most_frequent,"['ottoman', 'dining table', 'wardrobe', 'bed', 'sofa', 'cabinet']"
deepseek-chat,Furniture,average_frequency,"['armchair', 'rug', 'mirror', 'cushion', 'footstool', 'folding table']"
deepseek-chat,Furniture,least_frequent,"['couch', 'closet', 'clock', 'lamp', 'vase', 'stove']"
gemini-3-pro,Furniture,most_frequent,"['ottoman', 'dining table', 'wardrobe', 'bed', 'sofa', 'cabinet']"
