"model","prompt","prompt_id","runtime","output"
"deepseek-r1-0528","
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
","0","181.82296991348267","Here's a comprehensive list of attributes characterizing a ""desk,"" categorized for clarity:

**Physical Characteristics:**
1.  **Size/Scale:** Height, Width, Depth (footprint), Overall mass/weight.
2.  **Shape:** Rectangular, L-shaped, U-shaped, Curved, Circular, Kidney-Shaped, etc.
3.  **Material:** Wood (oak, pine, mahogany, particleboard, MDF), Metal (steel, aluminum), Plastic, Glass, Composite materials.
4.  **Color:** Various finishes (natural wood stain, painted colors, metal finishes).
5.  **Texture:** Smooth (laminated, glass), Rough (raw wood grain), Textured (metallic, composite).
6.  **Structure:**
    *   Legs: Number (4, pedestal, trestle, sled), Style (tapered, straight, cabriole), Material.
    *   Frame: Underlying supporting framework.
    *   Braces/Shelves: Under-desk shelves, stretchers.
7.  **Weight:** Lightweight, Heavy, Portable weight limit.
8.  **Durability & Sturdiness:** Resistance to wear, scratch-resistance, load-bearing capacity.
9.  **Opacity/Transparency:** Solid (wood/steel), Transparent (glass), Semi-transparent.

**Surface Features:**
10. **Surface Top:** Flat workspace area (main defining feature), Shape of top surface.
11. **Surface Finish:** Smooth, Textured, Matte, Glossy, Leather-bound, Ergonomic edges/lip.
12. **Edge Profile:** Beveled, minimizing nicks/scratches), Rounded (bullnose), Sharp.
13. **Modularity:** Number of drawers/shelves built-in, Configuration options.

**Functional Attributes:**
14. **Primary Function们的:** Provides a stable surface for writing, reading, computing, drafting, studying, working.
15. **Secondary Functions:**
    *   **Storage:** Built-in drawers (file drawer的, pencil drawer), cabinets, hutches, pedestals, trays.
    *   **Organization:** Defined work zones, cord management systems, pen/pencil holders.
    *   **Support:** Holders for monitors, keyboards, lamps, books, papers.
    *   **Position Adjustment:** Static height, Adjustable height (manual crank, electric sit-stand), Tilting surface (drafting desk).
16. **Work Envelope:** Usable surface area within reach.
17. **Ergonomics:** Compatibility with office chairs, Knee clearance, Comfortable edge profiling.

**Design & Aesthetic Attributes:**
18. **Style:** Classic/Traditional, Modern/Minimalist, Industrial, Rustic, Scandinavian, Contemporary, Antique, Executive, Floating.
19. **Form:** Ornate carvings, Decorative elements, Intricate joinery, Seamless appearance.
20. **Integration:** Compatibility with other furniture pieces (matching file cabinets, shelving units).
21. **Customizability:** Options for finish, hardware, size, storage configuration.

**Placement & Environment:**
22. **Location:** Office, Home office, Study, Library, Classroom, Workshop, Coffee shop, Reception area, Hotel room, Dorm room.
23. **Orientation:** Placement against wall (against wall), Freestanding, Partitions.
24. **Portability:** Fixed, Mobile/Wheeled (casters), Easily movable (lightweight), Foldable/Collapsible.
25. **Environmental Fit:** Indoor, Outdoor (weather-resistant).

**Associated Usage Patterns:**
26. **User Interaction:** Surface for placing objects, Writing surface, Computer workstation area, Drawing经过了平台, Reading surface.
27. **Associated Objects:** Frequently paired with Chair, Lamp, Computer, Monitor, Keyboard, Mouse, Documents, Books, office supplies.
28. **Activity Context:** Studying, Working (desk job), Crafting, Gaming, Administrative tasks.

**Taxonomy & Associations:**
29. **Category:** Furniture, Work Surface, Table (subset).
30. **Cultural Significance:** Symbol of work/study, Status symbol (executive desks), Historical evolution of desk design.
31. **Historical Styles:** Rolltop desk, Secretary desk, Campaign desk, Partner desk, etc.

This list covers a wide range of"
"deepseek-r1-0528","
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
","0","123.11176753044128","Here's a comprehensive list of attributes and characteristics typically associated with a ""desk"":

### Physical Attributes
1.  **Material:** Wood, metal, plastic, glass, composite materials (e.g., MDF, particleboard), laminate.
2.  **Shape:** Rectangular (most common), L-shaped, U-shaped, corner desk, kidney-shaped, circular, triangular, modular.
3.  **Size:** Dimensions (length, width, height); categorized often as small, medium, large, or executive-sized.
4.  **Height:** Standard desk height (around 29-30 inches), sit-stand adjustable height.
5.  **Weight:** Heavy (solid wood), medium (metal/particleboard), light (plastic).
6.  **Color:** Vast range: wood tones (oak, walnut, maple, beech), white, black, grey, primary colors, stained, painted.
7.  **Surface Texture:** Smooth, polished, matte, textured wood grain, laminate finish, frosted glass.
8.  **Surface Area:** Amount vouched workspace available.
9.  **Sturdiness/Stability:** Rigidity, resistance to wobbling or shaking.
10. **Weight Capacity:** Maximum load the surface/structure can safely hold.

### Structural & Design Attributes
11. **Legs/Support:** Four legs, pedestal(s), trestle base, tubular metal frame, floating/wall-mounted, solid panel sides.
12. **Drawers:** Number, size, location (central pedestal, side pedestal), material, type (file drawers, pencil drawers, soft-close).
13. **Shelves:** Integrated shelves (above or below), detached empezó bookshelves (hutch).
14. **Compartments & Storage:** Cupboards, built-in cabinets, keyboard trays, CPU holders, pencil trays.
15. **Surface Edge:** Straight edge, waterfall edge, rounded edge, ergonomic curved cutout.
16. **Finish:** Varnish, lacquer, oil, paint, powder coating, veneer, laminate, raw.
17. **Assembly Required:** Pre-assembled, ready-to-assemble (RTA), modular components.

### Functional Attributes
18. **Primary Function:** Provides a surface for writing, reading, working (computer work, study民心), organizing.
19. **Type:** Writing desk, computer desk, drafting table, reception desk, executive desk, secretary desk, gaming desk, standing desk, student desk, convertible desk.
20. **Mobility:** Stationary, equipped with casters/wheels (rolling desk).
21. **Adjustability:** Fixed height, manually adjustable (crank), electrically adjustable (sit-stand).
22. **Workspace Features:** Dedicated monitor stand area, grommet holes (for cable management), integrated power/USB ports.

### Visual & Aesthetic Attributes
23. **Style:** Modern, contemporary, traditional, rustic, antique, industrial, minimalist, vintage, mid-century modern, Scandinavian.
24. **Design Complexity:** Simple/unadorned, Ornate/decorative carvings, intricate detailing.

### Durability & Maintenance
25. **Durability:** Scratch-resistant, dent-resistant, stain-resistant, waterproof/resistant capabilities.
26. **Maintenance Needs:** Easy to clean, requires polishing, needs scratch repairs.

### Other Attributes
27. **Age:** New, used, antique.
28. **Condition:** Pristine, worn, scratched, damaged evokes.
29. **Ergonomics"
"deepseek-r1-0528","
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
","0","107.06223225593567","Here's a comprehensive list of attributes characterizing a ""desk,"" categorized for clarity:

**I. Physical Attributes:**
1.  **Size/Dimensions:**
    *   Height
    *   Width
    *   Depth
    *   Overall Surface Area
    *   Footprint
2.  **Shape/Form:**
    *   Rectangular
    *   L-Shaped
    *   U-Shaped
    *   Corner (Angled)
    *   Curved
    *   Kidney Shaped
    *   Round
    *   Square
    *   Standing Desk Column Shape/Design
3.  **Material Composition:**
    *   Desktop Surface Material (Wood, Particleboard/MDF, Laminate, Glass, Metal,Stone, Plastic, Bamboo)
    *   Frame Material (Metal, Wood, Plastic)
    *   Drawer Material
    *   Leg Material
4.  **Weight:** Overall mass.
5.  **Color/Finish:**
    *   Surface Color/Pattern (e.g., Walnut stain, White, Black laminate)
    *   Frame/Leg Color/Finish (Chrome, Painted, Natural wood)
6.  **Texture:** Surface feel (Smooth, Rough, Wood grain, Glossy, Matte).
7.  **Construction:**
    *   Solid Wood
    *   Engineered Wood (MDF, Particleboard)
    *   Metal Tubing/Sheets
    *   Glass panels/sections
    *  缺失 Jointing Style (Mortise & tenon, Dovetail, Screwed, Bolted)
    *   Overall Build Quality/Sturdiness

**II. Functional Attributes:**
8.  **Surface Type:** Flat, Angled Work Surface (drafting fathers golf
9.  **Adjustability:**
    *   Height Adjustable (Manual crank, Electric motor, Gas lift)
    *   Tilt-Adjustable Surface
    *   Keyboard Tray (fixed or adjustable)
10. **Storage Features:**
    *   Number of Drawers
    *   Drawer Size & Configuration
    *   File Storage Capacity (Legal/A4 hanging files?)
    *   Cabinets (Open/Closed)
    *   Shelves (Integrated/Fixed/Adjustable)
    **Edge Profile/Trim:** Beveled edge, Bullnose edge, Waterfall edge, Simple square.
12. **Mobility:** Casters/Wheels (Locking/Non-locking), Fixed Legs.
13. **Cable Management:**
    *   Grommet Holes (Size, Number, Location)
    *   Integrated Cable Trays/Raceways
    *   Cable Clips/Ties
14. **Stability & Load Capacity:** Maximum supported weight.
15. **Modularity/Assembly:** Permanent, Knockdown (KD), Panel-ready components.

**III. Ergonomic & Comfort Attributes:**
16. **Seating Compatibility:** Legroom clearance, Knee space dimensions.
17. **Comfortable Working Height:** Fixed or adjustable to suit user ergonomics.
18. **Accessibility:** Compliance features.

**IV. Usage & Purpose Attributes:**
19. **Intended Primary Function:**
    *   Writing
    *   Computer Workstation
    *   Drafting/Technical Drawing
   Executive Work
    *   Gaming
    *   Standing Desk
    *   Reception/Check-in
20. **Typical Location:** Home Office, Corporate Office, School Classroom, Studio, Gaming Room, Public Space.

**V. Aesthetic/Style Attributes:**
21. **Design Style:** Modern, Contemporary, Traditional, Rustic, Industrial, Minimalist, Scandinavian, Industrial, Mid-Century Modernbanana_command
22. **Visual Appeal:** Subjective attractiveness.
23. **Form Factor:** Height/Width/Depth ratios influencing appearance.

**VI. Integrated Features/Accessories:**
24. **Built-in Accessories:** Keyboard Tray, Footrest, Pen Holders, Document Holder, Task Light.
25. **Integrated Technology:** Power Outlets, USB Ports, Wireless Charging Pad.
26. **Attachments/Mounting:** Monitor Arm Mounts (VESA compatibility), CPU Holder.
27. **Bookcase/Hutch:** Integrated upper storage unit.

**VII. Durability & Maintenance:**
28. **Surface Durability:** Scratch resistance, Stain resistance, Heat resistance.
29. **Maintenance Requirements:** Ease of cleaning, Specific cleaners recommended/prohibited.
30. **Expected Lifespan:** Based载 on materials and construction.

**VIII. Manufacturer/Specifics:**
31. **Brand & Model:** Should we make sure they do have the correct meaning.
32. **Price Point:** Cost (Budget, Mid-range, Luxury).
33. **Warranty:** Coverage and duration.
34. **Safety Standards Compliance:** Certifications (EN, ANSI/BIFMA, etc.).
35. **Sustainability:** Eco-friendly materials, Recyclability, Certifications (FSC, Greenguard).
36. **Country of Origin.**

**IX. Current Condition (for a specific instance):**
37. **New / Used**
38. **Wear & Tear:** Scratches, Dents, Stains.
39. **Damage:** Structural integrity compromised.

This list covers the vast majority of characteristic attributes defining Iron a desk. The relevance of specific attributes depends storyline on context."
"deepseek-r1-0528","
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
","0","123.15018057823181","Here's a comprehensive list of attributes and characteristics of a ""desk,"" covering physical, functional, aesthetic, contextual, and design aspects:

**Physical Attributes:**
1.  **Shape:** Rectangular, L-shaped, U-shaped, kidney-shaped, corner, standing/converter, curved, circular, floating, desk with return, scribe/drafting (angled).
2.  **Size:** Dimensions (length, width, height), desktop surface area, footprint.
3.  **Height:** Standard (~29-30 inches), adjustable (sit-stand), drafting anticipated.
4.  **Weight:** Lightweight, medium, heavy.
5.  **Material:**
    *   *Primary:* Wood (solid wood, plywood, MDF), Metal (steel, aluminum), Plastic (acrylic), Glass (tempered).
    *   *Surface:* Laminate, Veneer, SolidHis wood, Scratch-resistant coating, Painted finish.
6.  **Construction:** Framed, cantilevered, trestle, four-legged, single pedestal, double pedestal, computer armoire, folding.
7.  **Stability:** Sturdy, wobbly, rock-solid.

**Functional Attributes:**
8.  **Work Surface:** Writing surface, keyboard tray, monitor mount/stand, pen/pencil ledge, document holder area.
9.  **Storage:** Drawers (file drawers, pencil drawers), Cabinets, Shelves, Hutches (integral or attached), Open storage slots/cubbies.
10. **Adjustability:** Height-adjustable (manual crank, electric, pneumatic), Tilt-adjustable (drafting desks).
11. **Mobility:** Fixed, Static w/glides, Casters/Wheels (locking), Portable/folding easily moved. *(Note: ""Desk"" implies semi-fixed, unlike purely mobile ""cart"")*
12. **Cable/Connection Management:** Grommets/cutouts, Integrated cable channels/trays, Underside organizers, Built-in USB/power ports.
13. **Ergonomics:** Designed for comfortable sitting/standing, promotes good posture, accommodates chairs/stools of appropriate height.

**Aesthetic/Sensory Attributes:**
14. **Color:** White, black, brown, natural wood tones, gray, etc.
15. **Finish/Texture:** Glossy, matte, satin, wood grain, smooth, textured, painted.
16. **Style:** Modern, Contemporary, Traditional, Industrial, Rustic, Minimalist, Mid-Century Modern, etc.
17. **Design Features:** Decorative molding, Beveled edges, Ornate legs, Integrated lighting, Glass fronted panels.

**Contextual/Functional Context Attributes:**
18. **Primary Function:** Writing desk, Computer desk, Reception desk, Executive desk, Drafting table, Study desk, Craft desk, Vanity (sometimes overlaps), Gaming desk.
19. **Location:** Office, Home office, Study, Bedroom, Classroom, Library, Reception area, Studio.
20. **User:** Individual, Shared/Collaborative, Receptionist, Executive, Student, Artist.
21. **Durability:** Heavy-duty/commercial, Standard/residential, Lightweight/temporary.
22. **Assembly:** Pre-assembled, Ready-to-assemble (RTA/Flat-pack).

**Specific Features (Often Sub-Attributes or Types):**
23. **Keyboard T業務ray:** Slide-out, under-desk, integrated.
24. **Modesty Panel:** Panel installed below the desktop facing the user for privacy/appearance.
25. **Integr SD卡ated Accessories:** Built-in pen holders, cup holders (gaming desks), tool organizers (craft desks).

This list encompasses the wide variety of characteristics that define a desk, ranging from its fundamental physical form and components to its purpose, appearance, and how it integrates into its environment."
"deepseek-r1-0528","
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
","0","118.98668050765991","Here's a comprehensive list of attributes and characteristics typically associated with a physical ""oviesk,"" categorized for clarity:

**Physical Attributes:**
1.  **Physical Form:**
    *   Shape: Rectangular, L-shaped, U-shaped, Circular, Oval, Kidney-shaped, Corner-shaped, Irregular.
    *   Size/Dimensions: Height (e.g., standard, sit-stand), Width, Depth; Compact, Spacious.
    *   Weight: Lightweight, Heavy.
*   **Material Composition:**
    *   Primary Materials: Wood (solid, veneer, plywood), Metal (steel, aluminum), Plastic/Composite (melamine, laminate), Glass, Stone (granite, marble), Bamboo.
*   **Components & Features:**
    *   Surface Type: Flat, Inclined (like drafting desks), Fixed-height, Adjustable-height (electric/manual).
    *   Surface Texture: Smooth, Textured, Glossy, Matte, Soft-touch.
    *   Frame/Legs: Solid/Functional, Ornate/Carved, Minimalist. Number of legs (4 common, pedestal, trestle).
    *   Storage: Drawers (pencil, file), Cabinets, Shelves (open, closed), Hutches/add-ons, Keyboard trays.
    *   Modularity: Folding-capable, Modular components, Expandable/extendable.
    *   Mobility: Stationary, Casters/wheels, achesportable/G-weight.
*   **Aesthetics & Style:**
    *   Color: Natural wood tones, Whites, Blacks, Grays, Browns, Accent colors.
    *   Style: Modern, Traditional, Industrial, Rustic, Scandinavian, Minimalist, Antique, Executive, Contemporary.
    *   Finish: Polished, Painted, gameStained, Distressed, Oiled, Lacquered, Raw/unfinished时机.

**-gameFunctional Attributes:**
5.  **Primary Purpose/Function:** Providing a stable surface for writing, working on a computer, studying, reading, drawing, crafting, managing paperwork, holding equipment.
*   **Usability Features:** Ergonomic Design, Cable management solutions, Monitor mounts/Risers, Grommet holes for wires.
*   **Workspace Integration:** Desktop organization areas, Monitor/keyboard position.

**Contextual Attributes:**
8.  **Location/Setting:** Office Desk, Home Desk, Study Desk, Classroom Desk, Reception Desk, Executive Desk, Computer Desk, Craft Desk, Gaming Desk, Writing Desk, Standing Desk, Convertible (sit-stand).
*   **Durability & Maintenance:**
    *   Durability Level: Sturdiness, Scratch-resistance, Water-resistance, Weight capacity.
    *   Maintenance Requirements: Easy to clean, Requires special care (e.g., oiling wood, avoiding scratches on glass), Assembly requirements.
*   **Age/Source:** New, Antique/vintage, Used, Mass-produced, Handcrafted.
*   **Cost:** Budget, Mid-range, High-end/luxury.
*   **Technology Integration:** Built-in USB ports/wireless chargers/Bluetooth speakers (less common, modern specialized desks), App/Gear compatibility.
*   **User Associations:** Professionalism, Study/concentration focus, Productivity, Creativity, Organized workweek, Executive status (executive desks).The goal was to cover tangible traits (form, material), intrinsic features (components), functional purposes, aesthetics, context (location, durability), and associations."
"deepseek-r1-0528","
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
Provide your answer in plain text as a comma-separated list of items.
","1","68.58900189399719","Here are the attributes of a desk:

Material, Shape, Size, Height, Width, Depth, Weight, Color, Finish, Style, Construction, Durability, Stability, Function, Surface Area, Purpose, Work Surface, Legs, Drawers, Shelves, Compartments, Doors, Casters, Adjustability, Mobility, Ergonomics, Topology, Condition, Brand, Age, Product Type, Price Point, Maintenance Requirements, Aesthetics, Arrangement, Usage Location, Portability, Sustainability, Associated Objects, Organization Features, Accessibility Features, Safety Features"
"deepseek-r1-0528","
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
Provide your answer in plain text as a comma-separated list of items.
","1","117.5844841003418","Here's a list of attributes characterizing a ""desk"":

Physical Structure & Components:
Height, Width, Depth, Rectangular shape (commonly), Legs, Flat surface/Top, Drawers, Storage compartments, Cubbyholes, Pedestal, Keyboard tray, Modesty panel, Back panel, Cable management feature, Feet/Glides, Shelf/Shelves

Materials & Construction:
Wooden, Metal, Plastic, Glass, Laminate, Particleboard/MDF, Solid/dense material, Sturdy/Stable, Heavy/Lightweight, Surface texture (smooth, rough, etc.), Surface finish (painted, vene9700ered, stained, polished)

Function & Purpose:
Work surface, Writing surface, Computing/Computer desk, Storage space, Sitting surface (for tasks), Standing surface, Organizer

Usage & Interaction:
Desktop area/Surface area, Workspace, Task-oriented, Common office furnishing, Found in home/study/office/library/school, Supports tools/devices

Observable Properties:
Four-legged (commonly), Hard surface, Visible grain/texture (if wood), Elevated surface, Describable color, Static/Stationary, Fixed location (typically), Flatness, Holds objects, Space underneath, Free-standing/Built-in

**Comma-Separated List:**

Height, Width, Depth, Rectangular shape, Legs, Flat surface/Top, Drawers, Storage compartments, Cubbyholes, Pedestal, Keyboard tray, Modesty panel, Back panel, Wooden, Metal, Plastic, Glass, Laminate, Particleboard/MDF, Sturdy/Stable, Heavy/Lightweight, Surface texture, Surface finish, Work surface, Writing surface, Computing desk, Storage space, Sitting surface, Standing surface, Organizer, Desktop area, Workspace, Task-oriented, Office furnishing, Found in home/office/school/library, Supports tools/devices, Four-legged, Hard surface, Visible grain/texture, Elevated surface, Color, Static/Stationary, Fixed location, Flatness, Holds objects, Space underneath, Free-standing/Built-in"
"deepseek-r1-0528","
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
Provide your answer in plain text as a comma-separated list of items.
","1","79.08406448364258","Here is a list of attributes characteristic of a ""desk"":

material, color, height, width, depth, shape, weight, nasod_legs, surface_area, finish_texture, storage_compartments, mobility, durability, age, style, brand, condition, function, adjustability, price, ecological_material, accessibility_features, ergonomic_design, orientation"
"deepseek-r1-0528","
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
Provide your answer in plain text as a comma-separated list of items.
","1","89.32547092437744","Here's a comprehensive list of attributes and characteristics commonly associated with a ""desk"":

*Material (e.g., wood, metal, plastic, laminate, glass), Height, Width, Depth, Surface Area, Color, Shape (e.g., rectangular, L-shaped, kidney, corner), Number/Location of Legs, Stability, Weight, Size (Small, Medium, Large, Executive), Style (e.g., modern, antique, rustic, industrial), Structure (Solid, Hollow), Texture (Smooth, Rough), Finish (Glossy, Matte, Polished)*,
*Primary Surface/Furniture Top, Edge Profile (Rounded, Square, Beveled), Drawers (Present/Absent, Number, Size, Location), Storage Compartments, File Cabinets, Shelves (Open, Closed, Built-in), Cabinets (Pedestal, Hutch), Keyboard Tray, Cup Holders/Trays, Cord Management, Movement (Stationary, Mobile e.g., on casters)*,
*Function/Purpose (Workstation, Study, Writing, Computer, Craft, Drafting), Adjustability (Height-adjustable e.g., sit-stand, Fixed height), Ergonomics, Stability, Durability, Age (New, Vintage), Condition (Excellent, Good, Poor, Damaged), Portability, Ownership (Personal, Shared), Associated Location (Office, Home, School, Studio), Brand/Manufacturer, Cost/Value*."
"deepseek-r1-0528","
Write all of the attributes of the object ""desk"" that you can think of. Write the attributes or characteristics you think are characteristic of the object ""desk"".
Provide your answer in plain text as a comma-separated list of items.
","1","181.77608346939087","Shape:ángulos apurados rectangular, circular, oval, L-shaped, trapezoidal  
Material: wooden, metal, plastic, glass, laminated, composite  
Structure: four-legged, three-legged, height-adjustable, modular  
Surfaces: flat top, smooth work surface, rough texture, glossy finish, matte finish  
Components: drawers, shelving, compartments, cupboard, file cabinet, keyboard tray, book rack  
Mobility: static, portable, foldable, with wheels, without wheels  
Size & Weight: small, large, medium, tiny, massive, heavy, lightweight  
Strength & Stability: sturdy, wobbly  
Design Style: modern, antique, industrial, traditional, contemporary, minimalist, maximalist, vintage, ornamental  
Usage Context: office, school, home, executive desk, reception desk, computer desk, gaming desk, craft desk  
Functional Features: ergonomic design, cable"
